timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Setail River,157.44,142.56,1.823,AMAN,RENDAH,0.0,61.0,25.7,NORMAL,-8.218023,114.274448
2024-01-01 01:00:00,Setail River,70.38,229.62,3.604,BANJIR,TINGGI,9.1,65.4,31.7,NORMAL,-8.251775,114.28769
2024-01-01 02:00:00,Setail River,64.28,235.72,3.951,BANJIR,TINGGI,15.4,79.3,30.6,NORMAL,-8.19539,114.441482
2024-01-01 03:00:00,Setail River,102.69,197.31,2.538,AMAN,SEDANG,0.9,69.7,29.1,NORMAL,-8.246128,114.343177
2024-01-01 04:00:00,Setail River,72.08,227.92,3.756,BANJIR,TINGGI,9.3,84.0,30.7,NORMAL,-8.163894,114.314951
2024-01-01 05:00:00,Setail River,50.69,249.31,4.634,BANJIR,TINGGI,0.0,73.8,31.3,NORMAL,-8.227324,114.322117
2024-01-01 06:00:00,Setail River,69.76,230.24,4.049,BANJIR,TINGGI,5.1,61.6,24.9,NORMAL,-8.193605,114.427557
2024-01-01 07:00:00,Setail River,100.85,199.15,3.216,AMAN,SEDANG,14.5,78.8,26.1,ERROR,-8.190902,114.291451
2024-01-01 08:00:00,Setail River,89.41,210.59,2.663,BANJIR,TINGGI,12.2,82.4,28.9,NORMAL,-8.288526,114.421643
2024-01-01 09:00:00,Setail River,108.05,191.95,2.189,AMAN,SEDANG,4.8,86.6,30.1,NORMAL,-8.293416,114.364197
2024-01-01 10:00:00,Setail River,110.52,189.48,2.308,AMAN,SEDANG,9.0,70.9,32.0,NORMAL,-8.189118,114.356761
2024-01-01 11:00:00,Setail River,98.19,201.81,2.968,BANJIR,TINGGI,0.9,82.1,25.8,NORMAL,-8.13801,114.441068
2024-01-01 12:00:00,Setail River,58.93,241.07,3.192,BANJIR,TINGGI,6.8,87.5,30.5,NORMAL,-8.281012,114.288527
2024-01-01 13:00:00,Setail River,92.06,207.94,3.206,BANJIR,TINGGI,0.0,71.9,30.9,NORMAL,-8.269363,114.307183
2024-01-01 14:00:00,Setail River,92.33,207.67,3.499,BANJIR,TINGGI,16.0,61.8,32.0,NORMAL,-8.151888,114.46294
2024-01-01 15:00:00,Setail River,137.07,162.93,1.842,AMAN,SEDANG,0.0,94.5,26.1,NORMAL,-8.16228,114.360143
2024-01-01 16:00:00,Setail River,94.52,205.48,2.706,BANJIR,TINGGI,7.4,86.2,24.5,NORMAL,-8.202258,114.369711
2024-01-01 17:00:00,Setail River,128.62,171.38,2.401,AMAN,SEDANG,0.0,81.7,27.4,NORMAL,-8.20236,114.373698
2024-01-01 18:00:00,Setail River,145.91,154.09,1.833,AMAN,SEDANG,1.0,86.3,24.6,NORMAL,-8.227437,114.468832
2024-01-01 19:00:00,Setail River,146.26,153.74,2.237,AMAN,SEDANG,13.3,65.5,30.7,NORMAL,-8.178386,114.391477
2024-01-01 20:00:00,Setail River,143.61,156.39,2.299,AMAN,SEDANG,6.0,81.2,29.7,NORMAL,-8.278375,114.395989
2024-01-01 21:00:00,Setail River,70.33,229.67,3.17,BANJIR,TINGGI,15.3,69.2,29.9,ERROR,-8.208758,114.354678
2024-01-01 22:00:00,Setail River,53.33,246.67,4.002,BANJIR,TINGGI,0.0,91.5,30.4,NORMAL,-8.146953,114.448926
2024-01-01 23:00:00,Setail River,76.56,223.44,3.501,BANJIR,TINGGI,9.9,92.6,30.4,NORMAL,-8.146281,114.431291
2024-01-02 00:00:00,Setail River,80.64,219.36,3.66,BANJIR,TINGGI,0.0,68.0,24.2,NORMAL,-8.280468,114.334793
2024-01-02 01:00:00,Setail River,131.15,168.85,2.106,AMAN,SEDANG,13.2,64.0,31.8,NORMAL,-8.28338,114.461648
2024-01-02 02:00:00,Setail River,74.48,225.52,3.134,BANJIR,TINGGI,5.3,80.2,26.0,NORMAL,-8.177337,114.269479
2024-01-02 03:00:00,Setail River,149.85,150.15,1.965,AMAN,SEDANG,1.6,89.7,29.8,NORMAL,-8.25903,114.330998
